3SNNA,3SNNR,3SNYA,3SNYR,3SYNA,3SYNR,3SYYA,3SYYR,3DNNA,3DNNR,3DNYA,3DNYR,3DYNA,3DYNR,3DYYA,3DYYR,4SNNA,4SNNR,4SNYA,4SNYR,4SYNA,4SYNR,4SYYA,4SYYR,4DNNA,4DNNR,4DNYA,4DNYR,4DYNA,4DYNR,4DYYA,4DYYR
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1224444,2321314,3121442,1223222,?,1221222,2321314,1224444
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231111,2321341,3121443,1223223,?,1221223,2321341,1231111
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231112,2321344,3122134,1223224,?,1221224,2321344,1231112
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231113,2321413,3122143,1223231,?,1221231,2321413,1231113
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231121,2321414,3122144,1223232,?,1221232,2321414,1231121
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231122,2321422,3122314,1223233,?,1221233,2321422,1231122
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231123,2321431,3122341,1223234,?,1221234,2321431,1231123
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231124,2321434,3122344,1223241,?,1221241,2321434,1231124
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231131,2321441,3122413,1223242,?,1221242,2321441,1231131
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231132,2321443,3122414,1223243,?,1221243,2321443,1231132
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231133,2322124,3122431,1223244,?,1221244,2322124,1231133
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231134,2322142,3122434,1223311,?,1221311,2322142,1231134
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231142,2322214,3122441,1223312,?,1221312,2322214,1231142
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231143,2322241,3122443,1223313,?,1221313,2322241,1231143
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231144,2322412,3123124,1223321,?,1221314,2322412,1231144
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231211,2322421,3123142,1223322,?,1221321,2322421,1231211
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231212,2323114,3123144,1223323,?,1221322,2323114,1231212
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231213,2323141,3123214,1223324,?,1221323,2323141,1231213
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231214,2323144,3123241,1223331,?,1221324,2323144,1231214
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231221,2323411,3123244,1223332,?,1221331,2323411,1231221
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231222,2323414,3123412,1223333,?,1221332,2323414,1231222
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231223,2323441,3123414,1223334,?,1221333,2323441,1231223
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231224,2324113,3123421,1223342,?,1221334,2324113,1231224
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231231,2324114,3123424,1223343,?,1221341,2324114,1231231
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231232,2324122,3123441,1223411,?,1221342,2324122,1231232
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231233,2324131,3123442,1223412,?,1221343,2324131,1231233
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231241,2324134,3124123,1223421,?,1221344,2324134,1231241
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231242,2324141,3124124,1223422,?,1221411,2324141,1231242
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231311,2324143,3124132,1223423,?,1221412,2324143,1231311
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231312,2324212,3124134,1223424,?,1221413,2324212,1231312
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231313,2324221,3124142,1223432,?,1221414,2324221,1231313
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231314,2324311,3124143,1223433,?,1221421,2324311,1231314
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231321,2324314,3124213,1223442,?,1221422,2324314,1231321
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231322,2324341,3124214,1223444,?,1221423,2324341,1231322
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231323,2324411,3124231,1224111,?,1221424,2324411,1231323
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231331,2324413,3124234,1224112,?,1221431,2324413,1231331
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231332,2324431,3124241,1224113,?,1221432,2324431,1231332
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231333,2331124,3124243,1224114,?,1221433,2331124,1231333
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231334,2331142,3124312,1224121,?,1221434,2331142,1231334
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231341,2331144,3124314,1224122,?,1221441,2331144,1231341
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231343,2331214,3124321,1224123,?,1221442,2331214,1231343
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231412,2331241,3124324,1224124,?,1221443,2331241,1231412
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231413,2331244,3124341,1224131,?,1221444,2331244,1231413
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231414,2331334,3124342,1224132,?,1222111,2331334,1231414
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231421,2331343,3124412,1224141,?,1222112,2331343,1231421
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231422,2331412,3124413,1224142,?,1222113,2331412,1231422
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231431,2331414,3124421,1224144,?,1222114,2331414,1231431
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231433,2331421,3124423,1224211,?,1222121,2331421,1231433
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231441,2331424,3124431,1224212,?,1222122,2331424,1231441
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1231444,2331433,3124432,1224213,?,1222123,2331433,1231444
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232111,2331441,3131224,1224214,?,1222124,2331441,1232111
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232112,2331442,3131242,1224221,?,1222131,2331442,1232112
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232113,2332114,3131244,1224222,?,1222132,2332114,1232113
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232114,2332141,3131422,1224223,?,1222133,2332141,1232114
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232121,2332144,3131424,1224224,?,1222134,2332144,1232121
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232122,2332411,3131442,1224231,?,1222141,2332411,1232122
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232123,2332414,3132124,1224232,?,1222142,2332414,1232123
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232124,2332441,3132142,1224233,?,1222143,2332441,1232124
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232131,2333134,3132144,1224234,?,1222144,2333134,1232131
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232132,2333143,3132214,1224241,?,1222211,2333143,1232132
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232133,2333314,3132241,1224242,?,1222212,2333314,1232133
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232141,2333341,3132244,1224243,?,1222213,2333341,1232141
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232142,2333413,3132412,1224244,?,1222214,2333413,1232142
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232211,2333431,3132414,1224311,?,1222221,2333431,1232211
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232212,2334112,3132421,1224312,?,1222222,2334112,1232212
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232213,2334114,3132424,1224321,?,1222223,2334114,1232213
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232214,2334121,3132441,1224322,?,1222224,2334121,1232214
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232221,2334124,3132442,1224323,?,1222231,2334124,1232221
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232222,2334133,3134122,1224324,?,1222232,2334133,1232222
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232223,2334141,3134124,1224332,?,1222233,2334141,1232223
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232231,2334142,3134142,1224333,?,1222234,2334142,1232231
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232232,2334211,3134212,1224342,?,1222241,2334211,1232232
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232233,2334214,3134214,1224344,?,1222242,2334214,1232233
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232234,2334241,3134221,1224411,?,1222243,2334241,1232234
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232241,2334313,3134224,1224412,?,1222244,2334313,1232241
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232243,2334331,3134241,1224414,?,1222311,2334331,1232243
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232244,2334411,3134242,1224421,?,1222312,2334411,1232244
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232311,2334412,3134412,1224422,?,1222313,2334412,1232311
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232312,2334421,3134421,1224423,?,1222314,2334421,1232312
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232313,2341111,3134422,1224424,?,1222321,2341111,1232313
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232321,2341123,3141223,1224432,?,1222322,2341123,1232321
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232322,2341124,3141224,1224434,?,1222323,2341124,1232322
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232323,2341132,3141232,1224441,?,1222324,2341132,1232323
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232324,2341134,3141234,1224442,?,1222331,2341134,1232324
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232331,2341142,3141242,1224443,?,1222332,2341142,1232331
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232332,2341143,3141243,1224444,?,1222333,2341143,1232332
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232333,2341213,3141322,1231111,?,1222334,2341213,1232333
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232334,2341214,3141324,1231112,?,1222341,2341214,1232334
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232342,2341222,3141342,1231113,?,1222342,2341222,1232342
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232343,2341231,3141422,1231114,?,1222343,2341231,1232343
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232411,2341234,3141423,1231121,?,1222344,2341234,1232411
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232412,2341241,3141432,1231122,?,1222411,2341241,1232412
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232421,2341243,3142123,1231123,?,1222412,2341243,1232421
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232423,2341312,3142124,1231124,?,1222413,2341312,1232423
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232424,2341314,3142132,1231131,?,1222414,2341314,1232424
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232432,2341321,3142134,1231132,?,1222421,2341321,1232432
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232433,2341324,3142142,1231133,?,1222422,2341324,1232433
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232442,2341333,3142143,1231134,?,1222423,2341333,1232442
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1232444,2341341,3142213,1231141,?,1222424,2341341,1232444
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233111,2341342,3142214,1231142,?,1222431,2341342,1233111
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233112,2341412,3142231,1231143,?,1222432,2341412,1233112
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233113,2341413,3142234,1231144,?,1222433,2341413,1233113
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233114,2341421,3142241,1231211,?,1222434,2341421,1233114
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233121,2341423,3142243,1231212,?,1222441,2341423,1233121
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233122,2341431,3142312,1231213,?,1222442,2341431,1233122
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233123,2341432,3142314,1231214,?,1222443,2341432,1233123
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233131,2341444,3142321,1231221,?,1222444,2341444,1233131
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233132,2342113,3142324,1231222,?,1223111,2342113,1233132
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233133,2342114,3142341,1231223,?,1223112,2342114,1233133
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233134,2342122,3142342,1231224,?,1223113,2342122,1233134
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233141,2342131,3142412,1231231,?,1223114,2342131,1233141
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233143,2342134,3142413,1231232,?,1223121,2342134,1233143
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233211,2342141,3142421,1231233,?,1223122,2342141,1233211
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233212,2342143,3142423,1231241,?,1223123,2342143,1233212
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233213,2342212,3142431,1231242,?,1223124,2342212,1233213
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233221,2342221,3142432,1231311,?,1223131,2342221,1233221
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233222,2342311,3143122,1231312,?,1223132,2342311,1233222
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233223,2342314,3143124,1231313,?,1223133,2342314,1233223
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233224,2342341,3143142,1231314,?,1223134,2342341,1233224
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233231,2342411,3143212,1231321,?,1223141,2342411,1233231
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233232,2342413,3143214,1231322,?,1223142,2342413,1233232
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233233,2342431,3143221,1231323,?,1223143,2342431,1233233
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233234,2343112,3143224,1231331,?,1223144,2343112,1233234
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233242,2343114,3143241,1231332,?,1223211,2343114,1233242
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233243,2343121,3143242,1231333,?,1223212,2343121,1233243
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233311,2343124,3143412,1231334,?,1223213,2343124,1233311
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233312,2343133,3143421,1231341,?,1223214,2343133,1233312
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233313,2343141,3143422,1231343,?,1223221,2343141,1233313
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233314,2343142,3144122,1231411,?,1223222,2343142,1233314
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233321,2343211,3144123,1231412,?,1223223,2343211,1233321
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233322,2343214,3144132,1231413,?,1223224,2343214,1233322
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233323,2343241,3144212,1231414,?,1223231,2343241,1233323
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233324,2343313,3144213,1231421,?,1223232,2343313,1233324
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233331,2343331,3144221,1231422,?,1223233,2343331,1233331
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233332,2343411,3144223,1231431,?,1223234,2343411,1233332
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233333,2343412,3144231,1231433,?,1223241,2343412,1233333
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233341,2343421,3144232,1231441,?,1223242,2343421,1233341
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233342,2344112,3144312,1231444,?,1223243,2344112,1233342
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233344,2344113,3144321,1232111,?,1223244,2344113,1233344
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233411,2344121,3144322,1232112,?,1223311,2344121,1233411
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233413,2344123,3211234,1232113,?,1223312,2344123,1233413
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233422,2344131,3211243,1232114,?,1223313,2344131,1233422
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233423,2344132,3211244,1232121,?,1223314,2344132,1233423
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233431,2344144,3211324,1232122,?,1223321,2344144,1233431
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233432,2344211,3211342,1232123,?,1223322,2344211,1233432
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233434,2344213,3211344,1232124,?,1223323,2344213,1233434
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233443,2344231,3211423,1232131,?,1223324,2344231,1233443
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1233444,2344311,3211424,1232132,?,1223331,2344311,1233444
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234112,2344312,3211432,1232133,?,1223332,2344312,1234112
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234113,2344321,3211434,1232141,?,1223333,2344321,1234113
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234114,2344414,3211442,1232142,?,1223334,2344414,1234114
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234121,2344441,3211443,1232211,?,1223341,2344441,1234121
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234122,2411113,3212134,1232212,?,1223342,2411113,1234122
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234131,2411131,3212143,1232213,?,1223343,2411131,1234131
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234133,2411233,3212144,1232214,?,1223344,2411233,1234133
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234141,2411234,3212314,1232221,?,1223411,2411234,1234141
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234144,2411243,3212341,1232222,?,1223412,2411243,1234144
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234211,2411311,3212344,1232223,?,1223413,2411311,1234211
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234212,2411323,3212413,1232224,?,1223414,2411323,1234212
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234221,2411324,3212414,1232231,?,1223421,2411324,1234221
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234223,2411332,3212431,1232232,?,1223422,2411332,1234223
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234224,2411334,3212434,1232233,?,1223423,2411334,1234224
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234232,2411342,3212441,1232234,?,1223424,2411342,1234232
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234233,2411343,3212443,1232241,?,1223431,2411343,1234233
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234242,2411423,3213124,1232242,?,1223432,2411423,1234242
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234244,2411432,3213142,1232243,?,1223433,2411432,1234244
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234311,2411433,3213144,1232244,?,1223434,2411433,1234311
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234313,2412133,3213214,1232311,?,1223441,2412133,1234313
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234322,2412134,3213241,1232312,?,1223442,2412134,1234322
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234323,2412143,3213244,1232313,?,1223443,2412143,1234323
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234331,2412223,3213412,1232321,?,1223444,2412223,1234331
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234332,2412232,3213414,1232322,?,1224111,2412232,1234332
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234334,2412313,3213421,1232323,?,1224112,2412313,1234334
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234343,2412314,3213424,1232324,?,1224113,2412314,1234343
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234344,2412322,3213441,1232331,?,1224114,2412322,1234344
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234411,2412331,3213442,1232332,?,1224121,2412331,1234411
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1234414,2412334,3214123,1232333,?,1224122,2412334,1234414
