3SNNA,3SNNR,3SNYA,3SNYR,3SYNA,3SYNR,3SYYA,3SYYR,3DNNA,3DNNR,3DNYA,3DNYR,3DYNA,3DYNR,3DYYA,3DYYR,4SNNA,4SNNR,4SNYA,4SNYR,4SYNA,4SYNR,4SYYA,4SYYR,4DNNA,4DNNR,4DNYA,4DNYR,4DYNA,4DYNR,4DYYA,4DYYR
?,?,?,?,?,?,?,?,21121,13112,21133,12232,?,12131,13112,21121,1314,?,?,1313,?,1312,?,1314,1111314,1122343,1132244,1111311,?,1111312,1122343,1111314
?,?,?,?,?,?,?,?,21122,13121,21213,12311,?,12132,13121,21122,1321,?,?,1314,?,1313,?,1321,1111321,1122344,1132324,1111312,?,1111313,1122344,1111321
?,?,?,?,?,?,?,?,21211,13122,21231,12322,?,12133,13122,21211,1322,?,?,1321,?,1314,?,1322,1111322,1122433,1132342,1111313,?,1111314,1122433,1111322
?,?,?,?,?,?,?,?,21212,13123,21233,12333,?,12211,13123,21212,1323,?,?,1322,?,1321,?,1323,1111323,1122434,1132344,1111314,?,1111321,1122434,1111323
?,?,?,?,?,?,?,?,21221,13132,21312,13111,?,12212,13132,21221,1331,?,?,1323,?,1322,?,1331,1111331,1122443,1132423,1111321,?,1111322,1122443,1111331
?,?,?,?,?,?,?,?,21222,13211,21313,13112,?,12213,13211,21222,1332,?,?,1331,?,1323,?,1332,1111332,1123114,1132424,1111322,?,1111323,1123114,1111332
?,?,?,?,?,?,?,?,22111,13212,21321,13113,?,12221,13212,22111,1333,?,?,1332,?,1324,?,1333,1111333,1123141,1132432,1111323,?,1111324,1123141,1111333
?,?,?,?,?,?,?,?,22112,13213,21323,13121,?,12222,13213,22112,1334,?,?,1333,?,1331,?,1334,1111334,1123234,1132434,1111324,?,1111331,1123234,1111334
?,?,?,?,?,?,?,?,22121,13221,21331,13131,?,12223,13221,22121,1341,?,?,1334,?,1332,?,1341,1111341,1123243,1132442,1111331,?,1111332,1123243,1111341
?,?,?,?,?,?,?,?,22122,13222,21332,13133,?,12231,13222,22122,1343,?,?,1341,?,1333,?,1343,1111343,1123244,1132443,1111332,?,1111333,1123244,1111343
?,?,?,?,?,?,?,?,22211,13223,22113,13211,?,12232,13223,22211,1344,?,?,1343,?,1334,?,1344,1111344,1123324,1133224,1111333,?,1111334,1123324,1111344
?,?,?,?,?,?,?,?,22212,13231,22131,13222,?,12233,13231,22212,1411,?,?,1344,?,1341,?,1411,1111411,1123342,1133242,1111334,?,1111341,1123342,1111411
?,?,?,?,?,?,?,?,22221,13232,22133,13233,?,12311,13232,22221,1412,?,?,1411,?,1342,?,1412,1111412,1123344,1133244,1111341,?,1111342,1123344,1111412
?,?,?,?,?,?,?,?,22223,13233,22311,13311,?,12312,13233,22223,1413,?,?,1412,?,1343,?,1413,1111413,1123411,1133422,1111342,?,1111343,1123411,1111413
?,?,?,?,?,?,?,?,22232,13312,22313,13313,?,12313,13312,22232,1414,?,?,1413,?,1344,?,1414,1111414,1123423,1133424,1111343,?,1111344,1123423,1111414
?,?,?,?,?,?,?,?,22233,13321,22331,13323,?,12321,13321,22233,1421,?,?,1414,?,1411,?,1421,1111421,1123424,1133442,1111344,?,1111411,1123424,1111421
?,?,?,?,?,?,?,?,22322,13322,23112,13331,?,12322,13322,22322,1422,?,?,1421,?,1412,?,1422,1111422,1123432,1134223,1111411,?,1111412,1123432,1111422
?,?,?,?,?,?,?,?,22323,13323,23113,13332,?,12323,13323,22323,1424,?,?,1422,?,1413,?,1424,1111424,1123434,1134224,1111412,?,1111413,1123434,1111424
?,?,?,?,?,?,?,?,22332,13332,23121,13333,?,12331,13332,22332,1431,?,?,1424,?,1414,?,1431,1111431,1123442,1134232,1111413,?,1111414,1123442,1111431
?,?,?,?,?,?,?,?,22333,21113,23123,21111,?,12332,21113,22333,1433,?,?,1431,?,1421,?,1433,1111433,1123443,1134234,1111414,?,1111421,1123443,1111433
?,?,?,?,?,?,?,?,23222,21123,23131,21112,?,12333,21123,23222,1434,?,?,1433,?,1422,?,1434,1111434,1124113,1134242,1111421,?,1111422,1124113,1111434
?,?,?,?,?,?,?,?,23223,21131,23132,21113,?,13111,21131,23223,1441,?,?,1434,?,1423,?,1441,1111441,1124131,1134243,1111422,?,1111423,1124131,1111441
?,?,?,?,?,?,?,?,23232,21132,23211,21121,?,13112,21132,23232,1442,?,?,1441,?,1424,?,1442,1111442,1124233,1134322,1111423,?,1111424,1124233,1111442
?,?,?,?,?,?,?,?,23233,21133,23213,21122,?,13113,21133,23233,1443,?,?,1442,?,1431,?,1443,1111443,1124234,1134324,1111424,?,1111431,1124234,1111443
?,?,?,?,?,?,?,?,23322,21213,23231,21131,?,13121,21213,23322,1444,?,?,1443,?,1432,?,1444,1111444,1124243,1134342,1111431,?,1111432,1124243,1111444
?,?,?,?,?,?,?,?,23323,21223,23311,21211,?,13122,21223,23323,2111,?,?,1444,?,1433,?,2111,1112111,1124311,1134422,1111432,?,1111433,1124311,1112111
?,?,?,?,?,?,?,?,23332,21231,23312,21212,?,13123,21231,23332,2112,?,?,2111,?,1434,?,2112,1112112,1124323,1134423,1111433,?,1111434,1124323,1112112
?,?,?,?,?,?,?,?,23333,21232,23321,21221,?,13131,21232,23333,2113,?,?,2112,?,1441,?,2113,1112113,1124324,1134432,1111434,?,1111441,1124324,1112113
?,?,?,?,?,?,?,?,31111,21233,31122,21222,?,13132,21233,31111,2114,?,?,2113,?,1442,?,2114,1112114,1124332,1142233,1111441,?,1111442,1124332,1112114
?,?,?,?,?,?,?,?,31113,21311,31123,21223,?,13133,21311,31113,2121,?,?,2114,?,1443,?,2121,1112121,1124334,1142234,1111442,?,1111443,1124334,1112121
?,?,?,?,?,?,?,?,31131,21312,31132,21232,?,13211,21312,31131,2122,?,?,2121,?,1444,?,2122,1112122,1124342,1142243,1111443,?,1111444,1124342,1112122
?,?,?,?,?,?,?,?,31133,21313,31212,21311,?,13212,21313,31133,2123,?,?,2122,?,2111,?,2123,1112123,1124343,1142323,1111444,?,1112111,1124343,1112123
?,?,?,?,?,?,?,?,31311,21321,31213,21322,?,13213,21321,31311,2124,?,?,2123,?,2112,?,2124,1112124,1124423,1142324,1112111,?,1112112,1124423,1112124
?,?,?,?,?,?,?,?,31313,21322,31221,21333,?,13221,21322,31313,2131,?,?,2124,?,2113,?,2131,1112131,1124432,1142332,1112112,?,1112113,1124432,1112131
?,?,?,?,?,?,?,?,31331,21323,31223,22111,?,13222,21323,31331,2132,?,?,2131,?,2114,?,2132,1112132,1124433,1142334,1112113,?,1112114,1124433,1112132
?,?,?,?,?,?,?,?,31333,21331,31231,22112,?,13223,21331,31333,2133,?,?,2132,?,2121,?,2133,1112133,1131124,1142342,1112114,?,1112121,1131124,1112133
?,?,?,?,?,?,?,?,32222,21332,31232,22121,?,13231,21332,32222,2141,?,?,2133,?,2122,?,2141,1112141,1131142,1142343,1112121,?,1112122,1131142,1112141
?,?,?,?,?,?,?,?,32223,21333,31312,22122,?,13232,21333,32223,2142,?,?,2141,?,2123,?,2142,1112142,1131214,1142423,1112122,?,1112123,1131214,1112142
?,?,?,?,?,?,?,?,32232,22113,31321,22123,?,13233,22113,32232,2144,?,?,2142,?,2124,?,2144,1112144,1131241,1142432,1112123,?,1112124,1131241,1112144
?,?,?,?,?,?,?,?,32233,22123,31322,22132,?,13311,22123,32233,2211,?,?,2144,?,2131,?,2211,1112211,1131412,1142433,1112124,?,1112131,1131412,1112211
?,?,?,?,?,?,?,?,32322,22131,32112,22211,?,13312,22131,32322,2212,?,?,2211,?,2132,?,2212,1112212,1131421,1143223,1112131,?,1112132,1131421,1112212
?,?,?,?,?,?,?,?,32323,22132,32113,22212,?,13313,22132,32323,2213,?,?,2212,?,2133,?,2213,1112213,1132114,1143224,1112132,?,1112133,1132114,1112213
?,?,?,?,?,?,?,?,32332,22133,32121,22213,?,13321,22133,32332,2214,?,?,2213,?,2134,?,2214,1112214,1132141,1143232,1112133,?,1112134,1132141,1112214
?,?,?,?,?,?,?,?,32333,22213,32123,22221,?,13322,22213,32333,2221,?,?,2214,?,2141,?,2221,1112221,1132234,1143234,1112134,?,1112141,1132234,1112221
?,?,?,?,?,?,?,?,33111,22222,32131,22222,?,13323,22222,33111,2223,?,?,2221,?,2142,?,2223,1112222,1132243,1143242,1112141,?,1112142,1132243,1112222
?,?,?,?,?,?,?,?,33113,22231,32132,22223,?,13331,22231,33113,2224,?,?,2222,?,2143,?,2224,1112223,1132244,1143243,1112142,?,1112143,1132244,1112223
?,?,?,?,?,?,?,?,33131,22311,32211,22231,?,13332,22311,33131,2231,?,?,2223,?,2144,?,2231,1112224,1132324,1143322,1112143,?,1112144,1132324,1112224
?,?,?,?,?,?,?,?,33133,22312,32213,22232,?,13333,22312,33133,2232,?,?,2224,?,2211,?,2232,1112231,1132342,1143324,1112144,?,1112211,1132342,1112231
?,?,?,?,?,?,?,?,33222,22313,32231,22233,?,21111,22313,33222,2233,?,?,2231,?,2212,?,2233,1112232,1132344,1143342,1112211,?,1112212,1132344,1112232
?,?,?,?,?,?,?,?,33223,22321,32311,22312,?,21112,22321,33223,2234,?,?,2232,?,2213,?,2234,1112233,1132411,1143422,1112212,?,1112213,1132411,1112233
?,?,?,?,?,?,?,?,33232,22331,32312,22321,?,21113,22331,33232,2241,?,?,2233,?,2214,?,2241,1112234,1132423,1143423,1112213,?,1112214,1132423,1112234
?,?,?,?,?,?,?,?,33233,23111,32321,22322,?,21121,23111,33233,2242,?,?,2234,?,2221,?,2242,1112241,1132424,1143432,1112214,?,1112221,1132424,1112241
?,?,?,?,?,?,?,?,33311,23112,33112,22323,?,21122,23112,33311,2243,?,?,2241,?,2223,?,2243,1112242,1132432,1144223,1112221,?,1112222,1132432,1112242
?,?,?,?,?,?,?,?,33313,23113,33121,22332,?,21123,23113,33313,2244,?,?,2242,?,2224,?,2244,1112243,1132434,1144232,1112222,?,1112223,1132434,1112243
?,?,?,?,?,?,?,?,33322,23121,33122,22333,?,21131,23121,33322,2311,?,?,2243,?,2231,?,2311,1112244,1132442,1144233,1112223,?,1112224,1132442,1112244
?,?,?,?,?,?,?,?,33323,23122,33211,23111,?,21132,23122,33323,2312,?,?,2244,?,2232,?,2312,1112311,1132443,1144322,1112224,?,1112231,1132443,1112311
?,?,?,?,?,?,?,?,33331,23123,33212,23122,?,21133,23123,33331,2313,?,?,2311,?,2233,?,2313,1112312,1133224,1144323,1112231,?,1112232,1133224,1112312
?,?,?,?,?,?,?,?,33332,23131,33221,23133,?,21211,23131,33332,2321,?,?,2312,?,2234,?,2321,1112313,1133242,1144332,1112232,?,1112233,1133242,1112313
?,?,?,?,?,?,?,?,?,23132,?,23212,?,21212,23132,?,2322,?,?,2313,?,2241,?,2322,1112321,1133244,1212334,1112233,?,1112234,1133244,1112321
?,?,?,?,?,?,?,?,?,23133,?,23221,?,21213,23133,?,2323,?,?,2321,?,2242,?,2323,1112322,1133422,1212343,1112234,?,1112241,1133422,1112322
?,?,?,?,?,?,?,?,?,23211,?,23222,?,21221,23211,?,2324,?,?,2322,?,2243,?,2324,1112323,1133424,1212344,1112241,?,1112242,1133424,1112323
?,?,?,?,?,?,?,?,?,23212,?,23223,?,21222,23212,?,2331,?,?,2323,?,2244,?,2331,1112324,1133442,1212433,1112242,?,1112243,1133442,1112324
?,?,?,?,?,?,?,?,?,23213,?,23232,?,21223,23213,?,2332,?,?,2324,?,2311,?,2332,1112331,1134112,1212434,1112243,?,1112244,1134112,1112331
?,?,?,?,?,?,?,?,?,23221,?,23233,?,21231,23221,?,2333,?,?,2331,?,2312,?,2333,1112332,1134121,1212443,1112244,?,1112311,1134121,1112332
?,?,?,?,?,?,?,?,?,23231,?,23313,?,21232,23231,?,2334,?,?,2332,?,2313,?,2334,1112333,1134211,1213234,1112311,?,1112312,1134211,1112333
?,?,?,?,?,?,?,?,?,23311,?,23322,?,21233,23311,?,2342,?,?,2333,?,2314,?,2342,1112334,1134223,1213243,1112312,?,1112313,1134223,1112334
?,?,?,?,?,?,?,?,?,23312,?,23323,?,21311,23312,?,2343,?,?,2334,?,2321,?,2343,1112342,1134224,1213244,1112313,?,1112314,1134224,1112342
?,?,?,?,?,?,?,?,?,23313,?,23331,?,21312,23313,?,2344,?,?,2342,?,2322,?,2344,1112343,1134232,1213324,1112314,?,1112321,1134232,1112343
?,?,?,?,?,?,?,?,?,23321,?,23332,?,21313,23321,?,2411,?,?,2343,?,2323,?,2411,1112344,1134234,1213342,1112321,?,1112322,1134234,1112344
?,?,?,?,?,?,?,?,?,23331,?,23333,?,21321,23331,?,2412,?,?,2344,?,2324,?,2412,1112411,1134242,1213344,1112322,?,1112323,1134242,1112411
?,?,?,?,?,?,?,?,?,31112,?,31111,?,21322,31112,?,2414,?,?,2411,?,2331,?,2414,1112412,1134243,1213423,1112323,?,1112324,1134243,1112412
?,?,?,?,?,?,?,?,?,31121,?,31112,?,21323,31121,?,2421,?,?,2412,?,2332,?,2421,1112414,1134322,1213424,1112324,?,1112331,1134322,1112414
?,?,?,?,?,?,?,?,?,31122,?,31113,?,21331,31122,?,2422,?,?,2414,?,2333,?,2422,1112421,1134324,1213432,1112331,?,1112332,1134324,1112421
?,?,?,?,?,?,?,?,?,31123,?,31121,?,21332,31123,?,2423,?,?,2421,?,2334,?,2423,1112422,1134342,1213434,1112332,?,1112333,1134342,1112422
?,?,?,?,?,?,?,?,?,31132,?,31131,?,21333,31132,?,2424,?,?,2422,?,2341,?,2424,1112423,1134422,1213442,1112333,?,1112334,1134422,1112423
?,?,?,?,?,?,?,?,?,31211,?,31133,?,22111,31211,?,2432,?,?,2423,?,2342,?,2432,1112424,1134423,1213443,1112334,?,1112341,1134423,1112424
?,?,?,?,?,?,?,?,?,31212,?,31211,?,22112,31212,?,2433,?,?,2424,?,2343,?,2433,1112432,1134432,1214233,1112341,?,1112342,1134432,1112432
?,?,?,?,?,?,?,?,?,31213,?,31222,?,22113,31213,?,2434,?,?,2432,?,2344,?,2434,1112433,1141123,1214234,1112342,?,1112343,1141123,1112433
?,?,?,?,?,?,?,?,?,31221,?,31233,?,22121,31221,?,2441,?,?,2433,?,2411,?,2441,1112434,1141132,1214243,1112343,?,1112344,1141132,1112434
?,?,?,?,?,?,?,?,?,31222,?,31311,?,22122,31222,?,2442,?,?,2434,?,2412,?,2442,1112441,1141213,1214323,1112344,?,1112411,1141213,1112441
?,?,?,?,?,?,?,?,?,31223,?,31313,?,22123,31223,?,2443,?,?,2441,?,2413,?,2443,1112442,1141231,1214324,1112411,?,1112412,1141231,1112442
?,?,?,?,?,?,?,?,?,31231,?,31323,?,22131,31231,?,2444,?,?,2442,?,2414,?,2444,1112443,1141312,1214332,1112412,?,1112413,1141312,1112443
?,?,?,?,?,?,?,?,?,31232,?,31331,?,22132,31232,?,3111,?,?,2443,?,2421,?,3111,1112444,1141321,1214334,1112413,?,1112414,1141321,1112444
?,?,?,?,?,?,?,?,?,31233,?,31332,?,22133,31233,?,3112,?,?,2444,?,2422,?,3112,1113111,1142113,1214342,1112414,?,1112421,1142113,1113111
?,?,?,?,?,?,?,?,?,31312,?,31333,?,22211,31312,?,3113,?,?,3111,?,2423,?,3113,1113112,1142131,1214343,1112421,?,1112422,1142131,1113112
?,?,?,?,?,?,?,?,?,31321,?,32111,?,22212,31321,?,3114,?,?,3112,?,2424,?,3114,1113113,1142233,1214423,1112422,?,1112423,1142233,1113113
?,?,?,?,?,?,?,?,?,31322,?,32122,?,22213,31322,?,3121,?,?,3113,?,2431,?,3121,1113114,1142234,1214432,1112423,?,1112424,1142234,1113114
?,?,?,?,?,?,?,?,?,31323,?,32133,?,22221,31323,?,3122,?,?,3114,?,2432,?,3122,1113121,1142243,1214433,1112424,?,1112431,1142243,1113121
?,?,?,?,?,?,?,?,?,31332,?,32212,?,22223,31332,?,3123,?,?,3121,?,2433,?,3123,1113122,1142311,1221334,1112431,?,1112432,1142311,1113122
?,?,?,?,?,?,?,?,?,32111,?,32221,?,22231,32111,?,3131,?,?,3122,?,2434,?,3131,1113123,1142323,1221343,1112432,?,1112433,1142323,1113123
?,?,?,?,?,?,?,?,?,32112,?,32222,?,22232,32112,?,3132,?,?,3123,?,2441,?,3132,1113131,1142324,1221344,1112433,?,1112434,1142324,1113131
?,?,?,?,?,?,?,?,?,32113,?,32223,?,22233,32113,?,3133,?,?,3131,?,2442,?,3133,1113132,1142332,1221433,1112434,?,1112441,1142332,1113132
?,?,?,?,?,?,?,?,?,32121,?,32232,?,22311,32121,?,3134,?,?,3132,?,2443,?,3134,1113133,1142334,1221434,1112441,?,1112442,1142334,1113133
?,?,?,?,?,?,?,?,?,32122,?,32233,?,22312,32122,?,3141,?,?,3133,?,2444,?,3141,1113134,1142342,1221443,1112442,?,1112443,1142342,1113134
?,?,?,?,?,?,?,?,?,32123,?,32313,?,22313,32123,?,3143,?,?,3134,?,3111,?,3143,1113141,1142343,1223134,1112443,?,1112444,1142343,1113141
?,?,?,?,?,?,?,?,?,32131,?,32322,?,22321,32131,?,3144,?,?,3141,?,3112,?,3144,1113143,1142423,1223143,1112444,?,1113111,1142423,1113143
?,?,?,?,?,?,?,?,?,32132,?,32323,?,22322,32132,?,3211,?,?,3143,?,3113,?,3211,1113144,1142432,1223144,1113111,?,1113112,1142432,1113144
?,?,?,?,?,?,?,?,?,32133,?,32331,?,22323,32133,?,3212,?,?,3144,?,3114,?,3212,1113211,1142433,1223314,1113112,?,1113113,1142433,1113211
?,?,?,?,?,?,?,?,?,32211,?,32332,?,22331,32211,?,3213,?,?,3211,?,3121,?,3213,1113212,1143112,1223341,1113113,?,1113114,1143112,1113212
?,?,?,?,?,?,?,?,?,32212,?,32333,?,22332,32212,?,3221,?,?,3212,?,3122,?,3221,1113213,1143121,1223344,1113114,?,1113121,1143121,1113213
?,?,?,?,?,?,?,?,?,32213,?,33111,?,22333,32213,?,3222,?,?,3213,?,3123,?,3222,1113221,1143211,1223413,1113121,?,1113122,1143211,1113221
?,?,?,?,?,?,?,?,?,32221,?,33113,?,23111,32221,?,3223,?,?,3221,?,3124,?,3223,1113222,1143223,1223414,1113122,?,1113123,1143223,1113222
?,?,?,?,?,?,?,?,?,32231,?,33123,?,23112,32231,?,3224,?,?,3222,?,3131,?,3224,1113223,1143224,1223431,1113123,?,1113124,1143224,1113223
?,?,?,?,?,?,?,?,?,32311,?,33131,?,23113,32311,?,3231,?,?,3223,?,3132,?,3231,1113224,1143232,1223434,1113124,?,1113131,1143232,1113224
?,?,?,?,?,?,?,?,?,32312,?,33132,?,23121,32312,?,3232,?,?,3224,?,3133,?,3232,1113231,1143234,1223441,1113131,?,1113132,1143234,1113231
?,?,?,?,?,?,?,?,?,32313,?,33133,?,23122,32313,?,3233,?,?,3231,?,3134,?,3233,1113232,1143242,1223443,1113132,?,1113133,1143242,1113232
?,?,?,?,?,?,?,?,?,32321,?,33213,?,23123,32321,?,3234,?,?,3232,?,3141,?,3234,1113233,1143243,1224133,1113133,?,1113134,1143243,1113233
?,?,?,?,?,?,?,?,?,32331,?,33222,?,23131,32331,?,3242,?,?,3233,?,3142,?,3242,1113234,1143322,1224134,1113134,?,1113141,1143322,1113234
?,?,?,?,?,?,?,?,?,33112,?,33223,?,23132,33112,?,3243,?,?,3234,?,3143,?,3243,1113242,1143324,1224143,1113141,?,1113142,1143324,1113242
?,?,?,?,?,?,?,?,?,33121,?,33231,?,23133,33121,?,3244,?,?,3242,?,3144,?,3244,1113243,1143342,1224313,1113142,?,1113143,1143342,1113243
?,?,?,?,?,?,?,?,?,33122,?,33232,?,23211,33122,?,3311,?,?,3243,?,3211,?,3311,1113244,1143422,1224314,1113143,?,1113144,1143422,1113244
?,?,?,?,?,?,?,?,?,33123,?,33233,?,23212,33123,?,3312,?,?,3244,?,3212,?,3312,1113311,1143423,1224331,1113144,?,1113211,1143423,1113311
?,?,?,?,?,?,?,?,?,33132,?,33311,?,23213,33132,?,3313,?,?,3311,?,3213,?,3313,1113312,1143432,1224334,1113211,?,1113212,1143432,1113312
?,?,?,?,?,?,?,?,?,33211,?,33312,?,23221,33211,?,3314,?,?,3312,?,3214,?,3314,1113313,1144223,1224341,1113212,?,1113213,1144223,1113313
?,?,?,?,?,?,?,?,?,33212,?,33313,?,23222,33212,?,3321,?,?,3313,?,3221,?,3321,1113314,1144232,1224343,1113213,?,1113214,1144232,1113314
?,?,?,?,?,?,?,?,?,33213,?,33321,?,23223,33213,?,3322,?,?,3314,?,3222,?,3322,1113321,1144233,1224413,1113214,?,1113221,1144233,1113321
?,?,?,?,?,?,?,?,?,33221,?,33322,?,23231,33221,?,3323,?,?,3321,?,3223,?,3323,1113322,1144322,1224431,1113221,?,1113222,1144322,1113322
?,?,?,?,?,?,?,?,?,33231,?,33323,?,23232,33231,?,3324,?,?,3322,?,3224,?,3324,1113323,1144323,1224433,1113222,?,1113223,1144323,1113323
?,?,?,?,?,?,?,?,?,33312,?,33331,?,23233,33312,?,3331,?,?,3323,?,3231,?,3331,1113324,1144332,1231234,1113223,?,1113224,1144332,1113324
?,?,?,?,?,?,?,?,?,33321,?,33332,?,23311,33321,?,3332,?,?,3324,?,3232,?,3332,1113331,1211134,1231243,1113224,?,1113231,1211134,1113331
?,?,?,?,?,?,?,?,?,33333,?,33333,?,23312,33333,?,3334,?,?,3331,?,3233,?,3334,1113332,1211143,1231244,1113231,?,1113232,1211143,1113332
?,?,?,?,?,?,?,?,?,?,?,?,?,23313,?,?,3341,?,?,3332,?,3234,?,3341,1113333,1211314,1231324,1113232,?,1113233,1211314,1113333
